,Şehir,İlçe,Cinsiyet,Okuma yazma bilmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,İlkokul,İlköğretim,Ortaokul veya dengi okul,Lise veya dengi okul,Yüksekokul veya fakülte,Yüksek lisans,Doktora,Bilinmeyen,Toplam
113,İzmir,Torbalı,Erkek,492,1856,13628,14607,6407,15220,8266,547,54,238,61315
114,İzmir,Torbalı,Kadın,3005,5298,18299,10432,4871,12291,7391,385,37,197,62206
115,İzmir,Torbalı,Toplam,3497,7154,31927,25039,11278,27511,15657,932,91,435,123521
117,İzmir,Urla,Erkek,59,369,5235,2324,2450,6688,6090,718,364,318,24615
118,İzmir,Urla,Kadın,332,1190,6551,1667,2032,6374,5846,685,257,352,25286
119,İzmir,Urla,Toplam,391,1559,11786,3991,4482,13062,11936,1403,621,670,49901
1,Kahramanmaraş,Afşin,Erkek,536,740,5064,4633,4035,8923,3007,217,25,202,27382
2,Kahramanmaraş,Afşin,Kadın,3700,1764,7737,4021,2299,4858,2136,103,30,203,26851
3,Kahramanmaraş,Afşin,Toplam,4236,2504,12801,8654,6334,13781,5143,320,55,405,54233
5,Kahramanmaraş,Andırın,Erkek,242,674,3015,1443,1747,3692,1581,80,12,27,12513
6,Kahramanmaraş,Andırın,Kadın,1035,2103,3959,1098,1007,2251,1050,32,4,45,12584
7,Kahramanmaraş,Andırın,Toplam,1277,2777,6974,2541,2754,5943,2631,112,16,72,25097
9,Kahramanmaraş,Çağlayancerit,Erkek,336,677,2769,1581,813,1131,598,34,4,111,8054
10,Kahramanmaraş,Çağlayancerit,Kadın,1322,1238,2338,1138,433,848,438,20,3,83,7861
11,Kahramanmaraş,Çağlayancerit,Toplam,1658,1915,5107,2719,1246,1979,1036,54,7,194,15915
13,Kahramanmaraş,Dulkadiroğlu,Erkek,1699,2073,14764,18586,8453,16428,7231,478,80,713,70505
14,Kahramanmaraş,Dulkadiroğlu,Kadın,8681,6090,19216,13647,5429,10975,4936,225,59,715,69973
15,Kahramanmaraş,Dulkadiroğlu,Toplam,10380,8163,33980,32233,13882,27403,12167,703,139,1428,140478
17,Kahramanmaraş,Ekinözü,Erkek,121,221,1137,855,567,1067,339,17,3,44,4371
18,Kahramanmaraş,Ekinözü,Kadın,372,595,1481,488,266,492,183,5,0,51,3933
19,Kahramanmaraş,Ekinözü,Toplam,493,816,2618,1343,833,1559,522,22,3,95,8304
21,Kahramanmaraş,Elbistan,Erkek,769,1122,9321,8905,6557,13451,6583,661,72,490,47931
22,Kahramanmaraş,Elbistan,Kadın,4217,2822,14432,7183,4034,9303,4991,297,36,478,47793
23,Kahramanmaraş,Elbistan,Toplam,4986,3944,23753,16088,10591,22754,11574,958,108,968,95724
25,Kahramanmaraş,Göksun,Erkek,474,583,4414,2719,2285,5017,2451,158,18,190,18309
26,Kahramanmaraş,Göksun,Kadın,2239,1350,6129,2608,1346,2896,1420,66,14,180,18248
27,Kahramanmaraş,Göksun,Toplam,2713,1933,10543,5327,3631,7913,3871,224,32,370,36557
29,Kahramanmaraş,Nurhak,Erkek,168,405,1289,1063,494,705,375,26,7,79,4611
30,Kahramanmaraş,Nurhak,Kadın,625,809,1254,543,290,576,294,6,1,59,4457
31,Kahramanmaraş,Nurhak,Toplam,793,1214,2543,1606,784,1281,669,32,8,138,9068
33,Kahramanmaraş,Onikişubat,Erkek,2113,2978,20064,23840,14520,36456,25746,3106,762,726,130311
34,Kahramanmaraş,Onikişubat,Kadın,11390,7951,31227,20835,10548,27805,19717,1767,298,835,132373
35,Kahramanmaraş,Onikişubat,Toplam,13503,10929,51291,44675,25068,64261,45463,4873,1060,1561,262684
37,Kahramanmaraş,Pazarcık,Erkek,1111,1495,6500,4583,2374,4072,1925,128,11,319,22518
38,Kahramanmaraş,Pazarcık,Kadın,4537,2221,6876,3243,1397,2960,1444,64,9,340,23091
39,Kahramanmaraş,Pazarcık,Toplam,5648,3716,13376,7826,3771,7032,3369,192,20,659,45609
41,Kahramanmaraş,Türkoğlu,Erkek,476,740,5307,5684,2957,5346,1865,117,9,146,22647
42,Kahramanmaraş,Türkoğlu,Kadın,2802,1870,7521,4171,1599,2962,1245,46,8,137,22361
43,Kahramanmaraş,Türkoğlu,Toplam,3278,2610,12828,9855,4556,8308,3110,163,17,283,45008
1,Karabük,Eflani,Erkek,143,195,1447,502,295,471,253,12,2,4,3324
2,Karabük,Eflani,Kadın,943,476,1341,318,131,256,159,5,2,12,3643
3,Karabük,Eflani,Toplam,1086,671,2788,820,426,727,412,17,4,16,6967
5,Karabük,Eskipazar,Erkek,113,167,1489,594,712,1188,611,37,6,7,4924
6,Karabük,Eskipazar,Kadın,846,587,1723,534,333,633,355,19,1,11,5042
7,Karabük,Eskipazar,Toplam,959,754,3212,1128,1045,1821,966,56,7,18,9966
9,Karabük,Karabük Merkez,Erkek,357,594,8034,6737,4844,14603,8465,649,228,82,44593
10,Karabük,Karabük Merkez,Kadın,2894,2376,13584,5911,3935,10571,6675,440,74,140,46600
11,Karabük,Karabük Merkez,Toplam,3251,2970,21618,12648,8779,25174,15140,1089,302,222,91193
13,Karabük,Ovacık,Erkek,88,78,616,163,164,268,139,7,1,2,1526
14,Karabük,Ovacık,Kadın,404,188,554,96,54,102,61,5,0,1,1465
15,Karabük,Ovacık,Toplam,492,266,1170,259,218,370,200,12,1,3,2991
17,Karabük,Safranbolu,Erkek,222,295,4507,2390,2061,7250,6892,555,263,55,24490
18,Karabük,Safranbolu,Kadın,1551,1179,6962,2304,1591,4839,4278,383,120,56,23263
19,Karabük,Safranbolu,Toplam,1773,1474,11469,4694,3652,12089,11170,938,383,111,47753
21,Karabük,Yenice,Erkek,312,357,2449,1192,1148,1749,761,55,3,37,8063
22,Karabük,Yenice,Kadın,1782,961,2667,769,731,1022,571,27,3,34,8567
23,Karabük,Yenice,Toplam,2094,1318,5116,1961,1879,2771,1332,82,6,71,16630
1,Karaman,Ayrancı,Erkek,26,85,1430,493,286,562,262,17,2,5,3168
2,Karaman,Ayrancı,Kadın,131,329,1747,369,192,380,154,6,1,7,3316
3,Karaman,Ayrancı,Toplam,157,414,3177,862,478,942,416,23,3,12,6484
5,Karaman,Başyayla,Erkek,22,39,429,271,175,280,127,10,1,2,1356
6,Karaman,Başyayla,Kadın,76,78,659,228,95,169,87,6,0,2,1400
7,Karaman,Başyayla,Toplam,98,117,1088,499,270,449,214,16,1,4,2756
9,Karaman,Ermenek,Erkek,144,325,3370,1845,1074,2318,1289,112,15,8,10500
10,Karaman,Ermenek,Kadın,718,824,4527,1385,784,1529,864,53,14,10,10708
11,Karaman,Ermenek,Toplam,862,1149,7897,3230,1858,3847,2153,165,29,18,21208
13,Karaman,Karaman Merkez,Erkek,430,1235,13944,14114,6090,15253,11156,961,237,739,64159
14,Karaman,Karaman Merkez,Kadın,2937,2889,21198,12122,5613,12432,8661,569,132,715,67268
15,Karaman,Karaman Merkez,Toplam,3367,4124,35142,26236,11703,27685,19817,1530,369,1454,131427
17,Karaman,Kazımkarabekir,Erkek,14,39,420,212,183,423,177,10,1,17,1496
18,Karaman,Kazımkarabekir,Kadın,113,98,641,210,107,230,102,2,0,17,1520
19,Karaman,Kazımkarabekir,Toplam,127,137,1061,422,290,653,279,12,1,34,3016
21,Karaman,Sarıveliler,Erkek,12,146,1423,884,486,945,439,30,3,20,4388
22,Karaman,Sarıveliler,Kadın,109,374,2072,601,240,507,290,11,0,17,4221
23,Karaman,Sarıveliler,Toplam,121,520,3495,1485,726,1452,729,41,3,37,8609
1,Kars,Akyaka,Erkek,90,163,1050,939,562,755,233,20,4,80,3896
2,Kars,Akyaka,Kadın,524,288,1237,522,273,407,181,4,2,49,3487
3,Kars,Akyaka,Toplam,614,451,2287,1461,835,1162,414,24,6,129,7383
5,Kars,Arpaçay,Erkek,196,388,1747,1162,909,1250,381,26,3,112,6174
6,Kars,Arpaçay,Kadın,1005,589,2066,775,453,558,307,10,4,222,5989
7,Kars,Arpaçay,Toplam,1201,977,3813,1937,1362,1808,688,36,7,334,12163
9,Kars,Digor,Erkek,280,589,2223,1786,780,913,325,27,6,125,7054
10,Kars,Digor,Kadın,1407,1062,1740,1032,397,614,306,13,3,103,6677
11,Kars,Digor,Toplam,1687,1651,3963,2818,1177,1527,631,40,9,228,13731
13,Kars,Kağızman,Erkek,478,992,3415,3612,1564,2840,1261,89,13,216,14480
14,Kars,Kağızman,Kadın,2326,1695,3591,2268,982,1751,973,47,10,260,13903
15,Kars,Kağızman,Toplam,2804,2687,7006,5880,2546,4591,2234,136,23,476,28383
17,Kars,Kars Merkez,Erkek,564,1009,5260,6751,3962,10446,6988,674,309,290,36253
18,Kars,Kars Merkez,Kadın,3701,2218,7953,4795,2877,7590,5576,445,178,318,35651
19,Kars,Kars Merkez,Toplam,4265,3227,13213,11546,6839,18036,12564,1119,487,608,71904
21,Kars,Sarıkamış,Erkek,341,699,3430,2962,1466,2636,1369,94,15,230,13242
22,Kars,Sarıkamış,Kadın,2406,1529,3491,1853,717,1356,990,61,10,302,12715
23,Kars,Sarıkamış,Toplam,2747,2228,6921,4815,2183,3992,2359,155,25,532,25957
25,Kars,Selim,Erkek,121,292,2462,1640,1054,1523,531,25,4,100,7752
26,Kars,Selim,Kadın,968,757,2818,1071,437,861,385,11,3,131,7442
27,Kars,Selim,Toplam,1089,1049,5280,2711,1491,2384,916,36,7,231,15194
29,Kars,Susuz,Erkek,149,236,1002,662,416,832,238,18,2,40,3595
30,Kars,Susuz,Kadın,607,343,1099,496,238,429,186,5,3,60,3466
31,Kars,Susuz,Toplam,756,579,2101,1158,654,1261,424,23,5,100,7061
1,Kastamonu,Abana,Erkek,18,55,637,205,155,301,221,9,5,21,1627
2,Kastamonu,Abana,Kadın,61,174,767,126,105,248,155,15,3,12,1666
3,Kastamonu,Abana,Toplam,79,229,1404,331,260,549,376,24,8,33,3293
5,Kastamonu,Ağlı,Erkek,19,46,463,162,124,210,113,5,0,6,1148
6,Kastamonu,Ağlı,Kadın,157,247,525,127,32,94,63,1,1,0,1247
7,Kastamonu,Ağlı,Toplam,176,293,988,289,156,304,176,6,1,6,2395
9,Kastamonu,Araç,Erkek,168,370,2842,1042,867,1296,683,43,5,25,7341
10,Kastamonu,Araç,Kadın,869,1114,3363,790,335,759,435,18,13,41,7737
11,Kastamonu,Araç,Toplam,1037,1484,6205,1832,1202,2055,1118,61,18,66,15078
13,Kastamonu,Azdavay,Erkek,134,199,1141,346,345,567,283,12,4,13,3044
14,Kastamonu,Azdavay,Kadın,771,460,928,284,150,270,174,11,2,18,3068
15,Kastamonu,Azdavay,Toplam,905,659,2069,630,495,837,457,23,6,31,6112
17,Kastamonu,Bozkurt,Erkek,88,209,1657,505,364,637,363,15,4,19,3861
18,Kastamonu,Bozkurt,Kadın,420,551,1711,370,213,459,242,16,7,29,4018
19,Kastamonu,Bozkurt,Toplam,508,760,3368,875,577,1096,605,31,11,48,7879
21,Kastamonu,Cide,Erkek,371,810,3618,1275,718,1410,712,48,12,93,9067
22,Kastamonu,Cide,Kadın,1645,1451,3119,869,352,940,468,23,5,108,8980
23,Kastamonu,Cide,Toplam,2016,2261,6737,2144,1070,2350,1180,71,17,201,18047
25,Kastamonu,Çatalzeytin,Erkek,55,200,1088,297,352,421,269,17,3,37,2739
26,Kastamonu,Çatalzeytin,Kadın,267,603,1069,206,134,286,169,13,2,42,2791
27,Kastamonu,Çatalzeytin,Toplam,322,803,2157,503,486,707,438,30,5,79,5530
29,Kastamonu,Daday,Erkek,64,118,978,444,461,862,439,24,3,9,3402
30,Kastamonu,Daday,Kadın,456,522,1393,350,215,451,225,19,2,6,3639
31,Kastamonu,Daday,Toplam,520,640,2371,794,676,1313,664,43,5,15,7041
33,Kastamonu,Devrekani,Erkek,63,174,1759,644,549,1075,525,32,4,19,4844
34,Kastamonu,Devrekani,Kadın,406,614,2390,536,275,478,319,10,1,23,5052
35,Kastamonu,Devrekani,Toplam,469,788,4149,1180,824,1553,844,42,5,42,9896
37,Kastamonu,Doğanyurt,Erkek,165,151,843,576,168,235,125,9,1,14,2287
38,Kastamonu,Doğanyurt,Kadın,603,227,805,390,49,165,92,5,2,10,2348
39,Kastamonu,Doğanyurt,Toplam,768,378,1648,966,217,400,217,14,3,24,4635
41,Kastamonu,Hanönü,Erkek,41,74,660,255,160,243,204,8,1,1,1647
42,Kastamonu,Hanönü,Kadın,237,245,671,153,68,161,106,5,1,11,1658
43,Kastamonu,Hanönü,Toplam,278,319,1331,408,228,404,310,13,2,12,3305
45,Kastamonu,İhsangazi,Erkek,56,110,644,277,276,495,209,14,2,2,2085
46,Kastamonu,İhsangazi,Kadın,333,295,865,228,126,228,104,5,2,2,2188
47,Kastamonu,İhsangazi,Toplam,389,405,1509,505,402,723,313,19,4,4,4273
49,Kastamonu,İnebolu,Erkek,257,406,2619,1193,669,1558,821,67,7,36,7633
50,Kastamonu,İnebolu,Kadın,1201,688,3102,973,442,1060,701,46,7,43,8263
51,Kastamonu,İnebolu,Toplam,1458,1094,5721,2166,1111,2618,1522,113,14,79,15896
53,Kastamonu,Kastamonu Merkez,Erkek,575,754,9095,6888,4772,15919,11534,967,343,63,50910
54,Kastamonu,Kastamonu Merkez,Kadın,4172,2758,14257,7155,3789,10290,8527,708,188,93,51937
55,Kastamonu,Kastamonu Merkez,Toplam,4747,3512,23352,14043,8561,26209,20061,1675,531,156,102847
57,Kastamonu,Küre,Erkek,49,207,655,450,234,464,167,8,0,3,2237
58,Kastamonu,Küre,Kadın,171,522,751,302,128,240,137,4,1,1,2257
59,Kastamonu,Küre,Toplam,220,729,1406,752,362,704,304,12,1,4,4494
61,Kastamonu,Pınarbaşı,Erkek,217,238,1046,291,217,277,155,10,0,13,2464
62,Kastamonu,Pınarbaşı,Kadın,702,425,715,156,80,119,85,6,1,13,2302
63,Kastamonu,Pınarbaşı,Toplam,919,663,1761,447,297,396,240,16,1,26,4766
65,Kastamonu,Seydiler,Erkek,11,38,583,226,181,342,171,17,0,7,1576
66,Kastamonu,Seydiler,Kadın,141,163,722,212,89,179,106,4,1,2,1619
67,Kastamonu,Seydiler,Toplam,152,201,1305,438,270,521,277,21,1,9,3195
69,Kastamonu,Şenpazar,Erkek,96,122,871,310,166,270,127,6,1,5,1974
70,Kastamonu,Şenpazar,Kadın,386,298,631,238,68,157,84,9,0,14,1885
71,Kastamonu,Şenpazar,Toplam,482,420,1502,548,234,427,211,15,1,19,3859
73,Kastamonu,Taşköprü,Erkek,354,554,5228,2144,1545,3269,1474,87,12,27,14694
74,Kastamonu,Taşköprü,Kadın,2263,1620,6763,1711,775,1689,962,38,12,52,15885
75,Kastamonu,Taşköprü,Toplam,2617,2174,11991,3855,2320,4958,2436,125,24,79,30579
77,Kastamonu,Tosya,Erkek,282,539,5202,2019,1619,3586,2057,128,16,38,15486
78,Kastamonu,Tosya,Kadın,1265,1850,7624,1893,924,2034,1313,62,13,49,17027
79,Kastamonu,Tosya,Toplam,1547,2389,12826,3912,2543,5620,3370,190,29,87,32513
1,Kayseri,Akkışla,Erkek,31,111,908,447,280,506,181,9,2,31,2506
2,Kayseri,Akkışla,Kadın,371,339,1041,229,115,312,115,1,2,32,2557
3,Kayseri,Akkışla,Toplam,402,450,1949,676,395,818,296,10,4,63,5063
5,Kayseri,Bünyan,Erkek,124,216,3019,1578,1272,2398,947,64,5,54,9677
6,Kayseri,Bünyan,Kadın,1147,841,3830,1150,597,1405,592,26,5,92,9685
7,Kayseri,Bünyan,Toplam,1271,1057,6849,2728,1869,3803,1539,90,10,146,19362
9,Kayseri,Develi,Erkek,389,597,7343,4323,2354,5005,2556,148,14,233,22962
10,Kayseri,Develi,Kadın,2741,1563,8762,3340,1442,3458,1731,81,14,237,23369
11,Kayseri,Develi,Toplam,3130,2160,16105,7663,3796,8463,4287,229,28,470,46331
13,Kayseri,Felahiye,Erkek,38,152,623,336,269,452,137,5,2,252,2266
14,Kayseri,Felahiye,Kadın,319,321,753,247,116,220,69,0,0,308,2353
15,Kayseri,Felahiye,Toplam,357,473,1376,583,385,672,206,5,2,560,4619
17,Kayseri,Hacılar,Erkek,34,114,1078,899,517,1137,558,47,0,21,4405
18,Kayseri,Hacılar,Kadın,215,634,1286,668,374,866,404,23,11,18,4499
19,Kayseri,Hacılar,Toplam,249,748,2364,1567,891,2003,962,70,11,39,8904
21,Kayseri,İncesu,Erkek,125,255,2378,2032,1072,2204,878,39,9,48,9040
22,Kayseri,İncesu,Kadın,1062,830,3213,1364,545,1328,554,31,8,53,8988
23,Kayseri,İncesu,Toplam,1187,1085,5591,3396,1617,3532,1432,70,17,101,18028
25,Kayseri,Kocasinan,Erkek,765,2113,24215,25781,14940,38717,22870,1998,320,1000,132719
26,Kayseri,Kocasinan,Kadın,7098,8702,41782,18054,10839,30842,18594,1477,228,1242,138858
27,Kayseri,Kocasinan,Toplam,7863,10815,65997,43835,25779,69559,41464,3475,548,2242,271577
29,Kayseri,Melikgazi,Erkek,794,2138,29815,33436,20484,58985,35561,3267,896,1191,186567
30,Kayseri,Melikgazi,Kadın,6945,9827,54570,26268,15131,48020,28538,2531,526,1583,193939
31,Kayseri,Melikgazi,Toplam,7739,11965,84385,59704,35615,107005,64099,5798,1422,2774,380506
33,Kayseri,Özvatan,Erkek,19,71,522,193,215,391,177,12,0,59,1659
34,Kayseri,Özvatan,Kadın,227,209,668,122,96,215,117,6,1,62,1723
35,Kayseri,Özvatan,Toplam,246,280,1190,315,311,606,294,18,1,121,3382
37,Kayseri,Pınarbaşı,Erkek,110,287,2861,1475,904,2021,892,47,5,75,8677
38,Kayseri,Pınarbaşı,Kadın,949,906,3404,908,420,1072,561,17,6,122,8365
39,Kayseri,Pınarbaşı,Toplam,1059,1193,6265,2383,1324,3093,1453,64,11,197,17042
41,Kayseri,Sarıoğlan,Erkek,85,231,1436,887,738,1273,426,19,2,291,5388
42,Kayseri,Sarıoğlan,Kadın,750,751,1737,623,342,702,251,15,1,293,5465
43,Kayseri,Sarıoğlan,Toplam,835,982,3173,1510,1080,1975,677,34,3,584,10853
45,Kayseri,Sarız,Erkek,113,167,1225,560,475,963,323,21,6,108,3961
46,Kayseri,Sarız,Kadın,626,487,1333,376,220,485,219,8,1,129,3884
47,Kayseri,Sarız,Toplam,739,654,2558,936,695,1448,542,29,7,237,7845
49,Kayseri,Talas,Erkek,135,388,6718,6358,4882,15784,13674,1736,591,324,50590
50,Kayseri,Talas,Kadın,1680,1951,12719,5511,3804,13861,11832,1388,275,384,53405
51,Kayseri,Talas,Toplam,1815,2339,19437,11869,8686,29645,25506,3124,866,708,103995
53,Kayseri,Tomarza,Erkek,116,313,2684,1572,1132,1863,505,28,6,83,8302
54,Kayseri,Tomarza,Kadın,1116,838,3303,1093,491,1017,350,8,6,119,8341
55,Kayseri,Tomarza,Toplam,1232,1151,5987,2665,1623,2880,855,36,12,202,16643
57,Kayseri,Yahyalı,Erkek,158,407,3386,3200,1251,2914,1554,105,11,42,13028
58,Kayseri,Yahyalı,Kadın,1658,1352,4600,1675,738,1995,1067,66,8,75,13234
59,Kayseri,Yahyalı,Toplam,1816,1759,7986,4875,1989,4909,2621,171,19,117,26262
61,Kayseri,Yeşilhisar,Erkek,47,145,1822,766,652,1725,671,43,6,27,5904
62,Kayseri,Yeşilhisar,Kadın,491,853,2571,594,365,968,405,22,0,44,6313
63,Kayseri,Yeşilhisar,Toplam,538,998,4393,1360,1017,2693,1076,65,6,71,12217
1,Kilis,Elbeyli,Erkek,35,68,469,480,266,612,274,13,0,4,2221
2,Kilis,Elbeyli,Kadın,91,248,454,533,165,223,114,0,0,13,1841
3,Kilis,Elbeyli,Toplam,126,316,923,1013,431,835,388,13,0,17,4062
5,Kilis,Kilis Merkez,Erkek,645,1066,5664,7426,4006,8371,6314,478,152,721,34843
6,Kilis,Kilis Merkez,Kadın,2759,2945,7689,7185,3012,6380,4213,243,69,807,35302
7,Kilis,Kilis Merkez,Toplam,3404,4011,13353,14611,7018,14751,10527,721,221,1528,70145
9,Kilis,Musabeyli,Erkek,157,276,1278,1037,558,554,182,1,0,5,4048
10,Kilis,Musabeyli,Kadın,693,485,1292,1007,254,253,75,1,2,4,4066
11,Kilis,Musabeyli,Toplam,850,761,2570,2044,812,807,257,2,2,9,8114
13,Kilis,Polateli,Erkek,41,75,506,421,260,287,78,3,0,2,1673
14,Kilis,Polateli,Kadın,158,159,589,361,173,124,55,1,1,1,1622
15,Kilis,Polateli,Toplam,199,234,1095,782,433,411,133,4,1,3,3295
1,Kocaeli,Başiskele,Erkek,149,342,4727,4776,3577,10924,7328,889,189,159,33060
2,Kocaeli,Başiskele,Kadın,1386,1385,7392,4713,3402,7976,6280,617,118,170,33439
3,Kocaeli,Başiskele,Toplam,1535,1727,12119,9489,6979,18900,13608,1506,307,329,66499
5,Kocaeli,Çayırova,Erkek,237,531,6841,10819,5062,14011,6410,521,81,227,44740
6,Kocaeli,Çayırova,Kadın,1936,1736,11852,8638,3702,9373,5593,340,52,254,43476
7,Kocaeli,Çayırova,Toplam,2173,2267,18693,19457,8764,23384,12003,861,133,481,88216
9,Kocaeli,Darıca,Erkek,428,1041,10511,14280,7853,22604,11378,985,170,434,69684
10,Kocaeli,Darıca,Kadın,3297,3189,18660,11312,5826,15541,9744,668,84,462,68783
11,Kocaeli,Darıca,Toplam,3725,4230,29171,25592,13679,38145,21122,1653,254,896,138467
13,Kocaeli,Derince,Erkek,345,660,7042,7392,5474,17690,11016,776,92,254,50741
14,Kocaeli,Derince,Kadın,2278,2293,13504,6537,4815,12824,9090,661,62,269,52333
15,Kocaeli,Derince,Toplam,2623,2953,20546,13929,10289,30514,20106,1437,154,523,103074
17,Kocaeli,Dilovası,Erkek,159,363,3042,5268,1952,3865,1312,56,4,57,16078
18,Kocaeli,Dilovası,Kadın,1231,1340,4800,3441,1129,2220,778,18,6,68,15031
19,Kocaeli,Dilovası,Toplam,1390,1703,7842,8709,3081,6085,2090,74,10,125,31109
21,Kocaeli,Gebze,Erkek,673,1699,18860,29531,14523,42378,21089,1653,236,616,131258
22,Kocaeli,Gebze,Kadın,5141,5252,33068,23928,10906,29554,18658,1100,133,790,128530
23,Kocaeli,Gebze,Toplam,5814,6951,51928,53459,25429,71932,39747,2753,369,1406,259788
25,Kocaeli,Gölcük,Erkek,216,441,7285,6505,6075,22252,13372,1079,182,316,57723
26,Kocaeli,Gölcük,Kadın,1986,2093,14704,6152,5447,16416,10845,812,95,327,58877
27,Kocaeli,Gölcük,Toplam,2202,2534,21989,12657,11522,38668,24217,1891,277,643,116600
29,Kocaeli,İzmit,Erkek,724,1649,18461,18660,12974,40752,27804,3192,857,394,125467
30,Kocaeli,İzmit,Kadın,4783,5407,31656,15834,11177,32483,25149,2713,658,451,130311
31,Kocaeli,İzmit,Toplam,5507,7056,50117,34494,24151,73235,52953,5905,1515,845,255778
33,Kocaeli,Kandıra,Erkek,488,1072,5996,2977,1925,3330,2008,159,23,77,18055
34,Kocaeli,Kandıra,Kadın,2143,2033,6509,2094,991,2133,1401,73,14,100,17491
35,Kocaeli,Kandıra,Toplam,2631,3105,12505,5071,2916,5463,3409,232,37,177,35546
37,Kocaeli,Karamürsel,Erkek,143,284,4227,2457,2341,7097,4017,221,36,156,20979
38,Kocaeli,Karamürsel,Kadın,984,931,6617,2388,1908,5356,3206,179,19,178,21766
39,Kocaeli,Karamürsel,Toplam,1127,1215,10844,4845,4249,12453,7223,400,55,334,42745
41,Kocaeli,Kartepe,Erkek,229,478,7108,6768,5016,13611,6823,629,137,165,40964
42,Kocaeli,Kartepe,Kadın,1952,1872,11547,6205,3560,9062,6039,402,94,225,40958
43,Kocaeli,Kartepe,Toplam,2181,2350,18655,12973,8576,22673,12862,1031,231,390,81922
45,Kocaeli,Körfez,Erkek,466,1013,8953,9661,6455,18986,10412,786,73,278,57083
46,Kocaeli,Körfez,Kadın,3247,3254,15171,8256,5032,13021,8676,540,54,324,57575
47,Kocaeli,Körfez,Toplam,3713,4267,24124,17917,11487,32007,19088,1326,127,602,114658
1,Konya,Ahırlı,Erkek,19,43,661,315,179,344,151,6,0,3,1721
2,Konya,Ahırlı,Kadın,140,350,852,187,84,159,89,3,1,6,1871
3,Konya,Ahırlı,Toplam,159,393,1513,502,263,503,240,9,1,9,3592
5,Konya,Akören,Erkek,34,62,627,446,250,435,217,14,2,12,2099
6,Konya,Akören,Kadın,181,282,943,287,120,248,122,6,1,11,2201
7,Konya,Akören,Toplam,215,344,1570,733,370,683,339,20,3,23,4300
9,Konya,Akşehir,Erkek,302,467,9401,3541,3236,10135,5307,474,51,165,33079
10,Konya,Akşehir,Kadın,2397,2370,15418,3929,2213,6533,3596,266,36,167,36925
11,Konya,Akşehir,Toplam,2699,2837,24819,7470,5449,16668,8903,740,87,332,70004
13,Konya,Altınekin,Erkek,15,95,2177,1294,400,534,243,14,9,4,4785
14,Konya,Altınekin,Kadın,240,424,2589,965,171,347,155,6,15,10,4922
15,Konya,Altınekin,Toplam,255,519,4766,2259,571,881,398,20,24,14,9707
17,Konya,Beyşehir,Erkek,281,580,6800,4035,3178,6693,3850,351,48,126,25942
18,Konya,Beyşehir,Kadın,1507,2242,10358,3973,1895,4463,2466,147,12,125,27188
19,Konya,Beyşehir,Toplam,1788,2822,17158,8008,5073,11156,6316,498,60,251,53130
21,Konya,Bozkır,Erkek,139,487,3858,1685,854,1421,855,83,7,43,9432
22,Konya,Bozkır,Kadın,647,1715,4528,1225,471,913,534,35,6,34,10108
23,Konya,Bozkır,Toplam,786,2202,8386,2910,1325,2334,1389,118,13,77,19540
25,Konya,Cihanbeyli,Erkek,171,645,5945,3599,2056,3571,1381,99,9,327,17803
26,Konya,Cihanbeyli,Kadın,1643,2170,7343,2846,1011,2433,1092,60,8,296,18902
27,Konya,Cihanbeyli,Toplam,1814,2815,13288,6445,3067,6004,2473,159,17,623,36705
29,Konya,Çeltik,Erkek,79,99,1144,480,455,880,276,24,0,76,3513
30,Konya,Çeltik,Kadın,391,433,1464,392,230,431,201,13,1,62,3618
31,Konya,Çeltik,Toplam,470,532,2608,872,685,1311,477,37,1,138,7131
33,Konya,Çumra,Erkek,180,340,6897,4702,2451,5404,2448,144,14,76,22656
34,Konya,Çumra,Kadın,1049,1756,10212,4097,1330,3277,1479,49,18,86,23353
35,Konya,Çumra,Toplam,1229,2096,17109,8799,3781,8681,3927,193,32,162,46009
37,Konya,Derbent,Erkek,61,131,573,310,162,261,70,6,1,2,1577
38,Konya,Derbent,Kadın,191,403,628,261,86,92,61,0,0,4,1726
39,Konya,Derbent,Toplam,252,534,1201,571,248,353,131,6,1,6,3303
41,Konya,Derebucak,Erkek,80,163,897,297,268,482,223,6,2,73,2491
42,Konya,Derebucak,Kadın,366,501,969,240,141,219,101,2,2,61,2602
43,Konya,Derebucak,Toplam,446,664,1866,537,409,701,324,8,4,134,5093
45,Konya,Doğanhisar,Erkek,91,155,2475,621,698,1458,703,45,5,12,6263
46,Konya,Doğanhisar,Kadın,570,971,3606,655,318,553,284,19,3,13,6992
47,Konya,Doğanhisar,Toplam,661,1126,6081,1276,1016,2011,987,64,8,25,13255
49,Konya,Emirgazi,Erkek,50,98,926,596,348,614,188,20,2,1,2843
50,Konya,Emirgazi,Kadın,266,476,1058,452,178,357,148,1,1,1,2938
51,Konya,Emirgazi,Toplam,316,574,1984,1048,526,971,336,21,3,2,5781
53,Konya,Ereğli,Erkek,546,744,13159,8755,6011,11982,7708,631,78,158,49772
54,Konya,Ereğli,Kadın,3224,2899,19004,7110,3808,10049,6301,315,41,182,52933
55,Konya,Ereğli,Toplam,3770,3643,32163,15865,9819,22031,14009,946,119,340,102705
57,Konya,Güneysınır,Erkek,41,89,1254,830,293,543,269,19,1,18,3357
